"date","nest","spp","status","adults","stage","chicks","confidence","notes"
2017-04-06,"104","BCNH","A",NA,1,0,"","6ft down from path."
2017-04-13,"104","BCNH","A",NA,2,3,"",NA
2017-04-20,"104","BCNH","A",NA,4,3,"",NA
2017-04-27,"104","BCNH","I",NA,NA,0,"","empty."
2017-05-04,"104","BCNH","I",NA,NA,0,"","empty."
2017-05-11,"104","BCNH","I",NA,NA,0,"","renest. see 104a"
2017-05-18,"104","BCNH","I",NA,NA,0,"","see 104a"
2017-05-25,"104","BCNH","I",NA,NA,0,"","see 104a"
2017-06-01,"104","BCNH","I",NA,NA,0,"","see 104a"
2017-05-11,"104A","BCNH","A",NA,1,0,"","6ft down from path."
2017-04-06,"115","BCNH","A",NA,1,0,"","up from agv trail."
2017-04-13,"115","BCNH","A",NA,1,0,"","1 egg looks partially crushed."
2017-04-20,"115","BCNH","A",NA,1,0,"",NA
2017-04-27,"115","BCNH","A",NA,2,2,"","1 crushed egg."
2017-05-04,"115","BCNH","A",NA,4,2,"",NA
2017-05-11,"115","BCNH","A",NA,5,2,"",NA
2017-05-18,"115","BCNH","A",NA,5,2,"",NA
2017-05-25,"115","BCNH","A",NA,5,1,"",NA
2017-06-01,"115","BCNH","I",NA,NA,0,"","empty."
2017-04-06,"119","BCNH","A",NA,1,0,"","by 121."
2017-04-13,"119","BCNH","A",NA,2,1,"","2 pipped eggs. 1 egg looks partially ___."
2017-04-20,"119","BCNH","A",NA,2,1,"","2 eggs likely dead."
2017-04-27,"119","BCNH","A",NA,5,2,"","one big chick"
2017-05-04,"119","BCNH","A",NA,5,1,"",NA
2017-05-11,"119","BCNH","A",NA,5,1,"",NA
2017-05-18,"119","BCNH","I",NA,NA,0,"","empty"
2017-05-25,"119","BCNH","I",NA,NA,0,"","empty."
2017-06-01,"119","BCNH","I",NA,NA,0,"","renest. see 119a"
2017-06-01,"119A","BCNH","A",NA,1,0,"","by 121."
2017-04-06,"121","BCNH","A",NA,1,0,"","west side bench, close to top. nest hidden under leafy stalk. near 119."
2017-04-13,"121","BCNH","A",NA,1,0,"",NA
2017-04-20,"121","BCNH","A",NA,1,0,"",NA
2017-04-27,"121","BCNH","A",NA,2,2,"",NA
2017-05-04,"121","BCNH","I",NA,NA,0,"","empty."
2017-05-11,"121","BCNH","I",NA,NA,0,"","empty."
2017-05-18,"121","BCNH","I",NA,NA,0,"","empty"
2017-05-25,"121","BCNH","I",NA,NA,0,"","empty."
2017-06-01,"121","BCNH","I",NA,NA,0,"","empty."
2017-04-06,"124","BCNH","A",NA,2,2,"","west side bench."
2017-04-13,"124","BCNH","I",NA,NA,0,"","empty."
2017-04-20,"124","BCNH","I",NA,NA,0,"","empty."
2017-04-27,"124","BCNH","I",NA,NA,0,"","empty."
2017-05-04,"124","BCNH","I",NA,NA,0,"","empty."
2017-05-11,"124","BCNH","I",NA,NA,0,"","empty."
2017-05-18,"124","BCNH","I",NA,NA,0,"","empty"
2017-05-25,"124","BCNH","I",NA,NA,0,"","empty."
2017-06-01,"124","BCNH","I",NA,NA,0,"","empty."
2017-04-06,"125","BCNH","A",NA,1,0,"",NA
2017-04-13,"125","BCNH","I",NA,NA,0,"","empty."
2017-04-27,"125","BCNH","I",NA,NA,0,"","destroyed."
2017-05-04,"125","BCNH","I",NA,NA,0,"","destroyed."
2017-05-11,"125","BCNH","I",NA,NA,0,"","destroyed."
2017-05-18,"125","BCNH","I",NA,NA,0,"","destroyed"
2017-05-25,"125","BCNH","I",NA,NA,0,"","destroyed."
2017-06-01,"125","BCNH","I",NA,NA,0,"","empty, looks like bowl was rebuilt."
2017-04-06,"147","BCNH","A",NA,1,0,"","20ft down from agv trail. tag above nest."
2017-04-13,"147","BCNH","A",NA,1,0,"",NA
2017-04-20,"147","BCNH","A",NA,2,2,"",NA
2017-04-27,"147","BCNH","A",NA,4,3,"",NA
2017-05-04,"147","BCNH","I",NA,NA,0,"","empty."
2017-05-11,"147","BCNH","I",NA,NA,0,"",NA
2017-05-18,"147","BCNH","I",NA,NA,0,"","empty"
2017-05-25,"147","BCNH","I",NA,NA,0,"","empty."
2017-06-01,"147","BCNH","I",NA,NA,0,"","empty."
2017-04-06,"152","BCNH","A",NA,2,3,"","over the wall."
2017-04-13,"152","BCNH","A",NA,2,1,"",NA
2017-04-20,"152","BCNH","I",NA,NA,0,"","empty."
2017-04-27,"152","BCNH","I",NA,NA,0,"","empty"
2017-05-11,"152","BCNH","I",NA,NA,0,"","fledged. empty"
2017-04-06,"162","BCNH","A",NA,1,0,"","tag above nest"
2017-04-13,"162","BCNH","A",NA,2,3,"",NA
2017-04-20,"162","BCNH","A",NA,4,3,"",NA
2017-04-27,"162","BCNH","A",NA,5,2,"",NA
2017-05-04,"162","BCNH","I",NA,NA,0,"","empty."
2017-05-11,"162","BCNH","I",NA,NA,0,"","empty."
2017-05-18,"162","BCNH","I",NA,NA,0,"","empty"
2017-05-25,"162","BCNH","I",NA,NA,0,"","empty."
2017-06-01,"162","BCNH","I",NA,NA,0,"","empty."
2017-04-06,"164","BCNH","A",NA,1,0,"","down to right of tree"
2017-04-13,"164","BCNH","I",NA,NA,0,"","empty."
2017-04-20,"164","BCNH","I",NA,NA,0,"","empty."
2017-04-27,"164","BCNH","I",NA,NA,0,"","renest. see 164a."
2017-05-04,"164","BCNH","I",NA,NA,0,"","see 164a."
2017-05-11,"164","BCNH","I",NA,NA,0,"","see 164a."
2017-05-18,"164","BCNH","I",NA,NA,0,"","see 164a."
2017-05-25,"164","BCNH","I",NA,NA,0,"","see 164a."
2017-06-01,"164","BCNH","I",NA,NA,0,"","see 164a."
2017-04-27,"164A","BCNH","A",NA,1,0,"","down to right of tree, renest"
2017-05-04,"164A","BCNH","A",NA,1,0,"",NA
2017-05-11,"164A","BCNH","A",NA,1,0,"",NA
2017-05-18,"164A","BCNH","I",NA,NA,0,"","empty"
2017-06-01,"164A","BCNH","I",NA,NA,0,"","empty."
2017-04-27,"170","SNEG","A",NA,1,0,"","possibly sneg. inside canyon near 772."
2017-05-11,"170","SNEG","A",NA,1,0,"","sneg?"
2017-05-18,"170","SNEG","A",NA,1,0,"",NA
2017-05-25,"170","SNEG","A",NA,2,5,"","egg is pipped. confirmed sneg. copied over to sneg tab."
2017-06-01,"170","SNEG","A",NA,4,4,"",NA
2017-04-27,"171","SNEG","A",NA,1,0,"","tag 2ft se of nest. in canyon."
2017-05-04,"171","SNEG","A",NA,1,0,"",NA
2017-05-11,"171","SNEG","A",NA,1,0,"",NA
2017-05-18,"171","SNEG","A",NA,1,0,"",NA
2017-05-25,"171","SNEG","A",NA,2,4,"","sneg. copied over to sneg tab."
2017-06-01,"171","SNEG","A",NA,4,4,"",NA
2017-04-06,"173","BCNH","A",NA,1,0,"","hole in the wall, access from steps. tag 1ft below nest. 12ft e of 395."
2017-04-13,"173","BCNH","A",NA,1,0,"",NA
2017-04-20,"173","BCNH","A",NA,2,1,"","2 shells below nest, no sign of dead chicks."
2017-04-27,"173","BCNH","A",NA,2,2,"","1 likely missed last week."
2017-05-04,"173","BCNH","A",NA,5,1,"",NA
2017-05-11,"173","BCNH","I",NA,NA,0,"","empty."
2017-05-18,"173","BCNH","I",NA,NA,0,"","empty"
2017-05-25,"173","BCNH","I",NA,NA,0,"","empty."
2017-06-01,"173","BCNH","I",NA,NA,0,"","empty."
2017-04-06,"175","BCNH","A",NA,1,0,"","tag 4ft above nest, 7ft east of 178"
2017-04-13,"175","BCNH","A",NA,1,0,"",NA
2017-04-20,"175","BCNH","A",NA,1,0,"",NA
2017-04-27,"175","BCNH","A",NA,1,0,"",NA
2017-05-04,"175","BCNH","A",NA,2,3,"",NA
2017-05-11,"175","BCNH","I",NA,NA,0,"","empty."
2017-05-18,"175","BCNH","I",NA,NA,0,"","empty"
2017-05-25,"175","BCNH","I",NA,NA,0,"","empty."
2017-06-01,"175","BCNH","I",NA,NA,0,"","empty."
2017-04-06,"177","BCNH","A",NA,1,0,"","nest 3ft above 180, tag 2ft above nest"
2017-04-13,"177","BCNH","A",NA,2,2,"","egg is pipped."
2017-04-20,"177","BCNH","A",NA,2,3,"",NA
2017-04-27,"177","BCNH","I",NA,NA,0,"","empty."
2017-05-04,"177","BCNH","I",NA,NA,0,"","empty."
2017-05-11,"177","BCNH","I",NA,NA,0,"","empty."
2017-05-18,"177","BCNH","I",NA,NA,0,"","empty"
2017-05-25,"177","BCNH","I",NA,NA,0,"","empty."
2017-06-01,"177","BCNH","I",NA,NA,0,"","empty."
2017-04-06,"178","BCNH","A",NA,1,0,"","tag 3ft over nest, halfway down"
2017-04-13,"178","BCNH","A",NA,1,0,"",NA
2017-04-20,"178","BCNH","A",NA,2,2,"",NA
2017-04-27,"178","BCNH","A",NA,2,2,"",NA
2017-05-04,"178","BCNH","A",NA,5,2,"",NA
2017-05-11,"178","BCNH","A",NA,5,2,"","chicks left nest on approach."
2017-05-18,"178","BCNH","I",NA,NA,0,"","empty"
2017-05-25,"178","BCNH","I",NA,NA,0,"","empty."
2017-06-01,"178","BCNH","I",NA,NA,0,"","empty"
2017-04-06,"179","BCNH","A",NA,1,0,"","1 egg pipped/hatching, tag 2ft above nest. 5 ft east of 180"
