"date","nest","spp","status","adults","stage","chicks","confidence","notes"
2015-04-02,"102","SNEG","A",NA,1,NA,"","west side; up and to the left of 98"
2015-04-09,"102","SNEG","A",NA,1,NA,"",NA
2015-04-16,"102","SNEG","A",NA,1,NA,"",NA
2015-04-23,"102","SNEG","A",NA,1,NA,"",NA
2015-04-30,"102","SNEG","A",NA,2,3,"",NA
2015-04-02,"104","SNEG","A",NA,1,NA,"","west side; directly behind tag, just out and above small entry tunnel"
2015-04-09,"104","SNEG","A",NA,1,NA,"",NA
2015-04-16,"104","SNEG","A",NA,1,NA,"",NA
2015-04-23,"104","SNEG","A",NA,1,NA,"",NA
2015-04-30,"104","SNEG","A",NA,2,3,"",NA
2015-04-02,"115","SNEG","A",NA,1,NA,"","west side"
2015-04-09,"115","SNEG","A",NA,1,NA,"",NA
2015-04-16,"115","SNEG","A",NA,1,NA,"",NA
2015-04-23,"115","SNEG","A",NA,1,NA,"",NA
2015-04-30,"115","SNEG","A",NA,2,3,"",NA
2015-04-02,"119","SNEG","A",NA,1,NA,"","west side; 433 to left of this nest"
2015-04-09,"119","SNEG","A",NA,1,NA,"",NA
2015-04-16,"119","SNEG","A",NA,1,NA,"",NA
2015-04-23,"119","SNEG","A",NA,1,NA,"",NA
2015-04-30,"119","SNEG","A",NA,2,3,"",NA
2015-04-02,"121","SNEG","A",NA,1,NA,"","west side; close to 119"
2015-04-09,"121","SNEG","A",NA,1,NA,"",NA
2015-04-16,"121","SNEG","A",NA,1,NA,"",NA
2015-04-23,"121","SNEG","A",NA,1,NA,"",NA
2015-04-30,"121","SNEG","A",NA,2,4,"",NA
2015-04-02,"124","SNEG","A",NA,1,NA,"","west side; back and to the left of 119"
2015-04-09,"124","SNEG","A",NA,1,NA,"",NA
2015-04-16,"124","SNEG","A",NA,1,NA,"",NA
2015-04-23,"124","SNEG","A",NA,1,NA,"",NA
2015-04-30,"124","SNEG","A",NA,2,2,"",NA
2015-04-02,"125","SNEG","A",NA,1,NA,"","middle; below and left of 31"
2015-04-09,"125","SNEG","A",NA,1,NA,"",NA
2015-04-16,"125","SNEG","A",NA,1,NA,"",NA
2015-04-23,"125","SNEG","A",NA,1,NA,"",NA
2015-04-30,"125","SNEG","A",NA,2,3,"",NA
2015-04-02,"147","SNEG","A",NA,1,NA,"","west side; towards front of colony"
2015-04-09,"147","SNEG","A",NA,1,NA,"",NA
2015-04-16,"147","SNEG","A",NA,1,NA,"",NA
2015-04-23,"147","SNEG","A",NA,1,NA,"","1 pipped"
2015-04-30,"147","SNEG","A",NA,2,3,"",NA
2015-04-02,"162","SNEG","A",NA,1,NA,"","west side; right next to 147"
2015-04-09,"162","SNEG","A",NA,1,NA,"",NA
2015-04-16,"162","SNEG","A",NA,1,NA,"",NA
2015-04-23,"162","SNEG","A",NA,1,NA,"",NA
2015-04-30,"162","SNEG","A",NA,2,4,"",NA
2015-04-02,"164","SNEG","A",NA,1,NA,"","west side; 6 ft behind 162"
2015-04-09,"164","SNEG","A",NA,1,NA,"",NA
