"date","nest","spp","status","adults","stage","chicks","confidence","notes"
2018-03-29,"104","BCNH","A",NA,1,0,"","tag 3 ft above nest, near lower end of agave trail; tag from 2017"
2018-04-05,"104","BCNH","A",NA,2,3,"",NA
2018-04-12,"104","BCNH","I",NA,NA,0,"","empty"
2018-04-19,"104","BCNH","I",NA,NA,0,"",NA
2018-04-26,"104","BCNH","I",NA,NA,0,"","empty"
2018-05-03,"104","BCNH","I",NA,NA,0,"","empty, depredated eggshell below nest"
2018-05-10,"104","BCNH","I",NA,NA,0,"","empty"
2018-05-17,"104","BCNH","I",NA,NA,0,"","empty"
2018-05-24,"104","BCNH","I",NA,NA,0,"",NA
2018-05-31,"104","BCNH","I",NA,NA,0,"",NA
2018-06-07,"104","BCNH","I",NA,NA,0,"",NA
2018-04-12,"119","BCNH","A",NA,1,0,"","cove entrance"
2018-04-19,"119","BCNH","A",NA,1,0,"",NA
2018-05-03,"119","BCNH","A",NA,2,3,"",NA
2018-05-10,"119","BCNH","A",NA,4,3,"",NA
2018-05-17,"119","BCNH","A",NA,5,1,"",NA
2018-05-24,"119","BCNH","A",NA,5,1,"","chick in vicinity"
2018-05-31,"119","BCNH","A",NA,5,1,"",NA
2018-06-07,"119","BCNH","A",NA,5,1,"","dying, visibly attacked"
2018-04-19,"121","BCNH","A",NA,2,3,"","tag 13 ft in front (west) of nest"
2018-04-26,"121","BCNH","A",NA,4,3,"",NA
2018-05-03,"121","BCNH","A",NA,5,2,"",NA
2018-05-10,"121","BCNH","A",NA,5,1,"","only one large chick visible, may be more but cannot get close enough"
2018-05-17,"121","BCNH","A",NA,5,1,"",NA
2018-05-24,"121","BCNH","A",NA,5,1,"",NA
2018-05-31,"121","BCNH","A",NA,5,1,"","left nest"
2018-06-07,"121","BCNH","I",NA,NA,0,"",NA
2018-04-19,"124","SNEG","A",NA,1,0,"",NA
2018-04-26,"124","SNEG","A",NA,1,0,"",NA
2018-05-03,"124","SNEG","A",NA,1,0,"",NA
2018-05-10,"124","SNEG","A",NA,1,0,"",NA
